,_id,name,category_code,number_of_employees,founded_year,city,location,latitude,longitude,total_money_raised ($k)
27,"{""$oid"": ""52cdef7c4bab8bd675297da9""}",Mahalo,web,40.0,2007.0,Culver City,"{'type': 'Point', 'coordinates': [-118.487267, 34.017606]}",34.017606,-118.487267,21000.0
28,"{""$oid"": ""52cdef7c4bab8bd675297daa""}",Sparter,games_video,,2007.0,NoCity,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",37.09024,-95.712891,0.0
29,"{""$oid"": ""52cdef7c4bab8bd675297da7""}",AddThis,advertising,120.0,2004.0,Vienna,"{'type': 'Point', 'coordinates': [-77.245195, 38.926172]}",38.926172,-77.245195,73000.0
29,"{""$oid"": ""52cdef7c4bab8bd675297da7""}",AddThis,advertising,120.0,2004.0,New York,"{'type': 'Point', 'coordinates': [-73.996876, 40.724604]}",40.724604,-73.996876,73000.0
29,"{""$oid"": ""52cdef7c4bab8bd675297da7""}",AddThis,advertising,120.0,2004.0,Culver City,"{'type': 'Point', 'coordinates': [-118.380954, 34.0263021]}",34.0263021,-118.380954,73000.0
29,"{""$oid"": ""52cdef7c4bab8bd675297da7""}",AddThis,advertising,120.0,2004.0,Chicago,,Invalid lat long,Invalid lat long,73000.0
29,"{""$oid"": ""52cdef7c4bab8bd675297da7""}",AddThis,advertising,120.0,2004.0,San Francisco,,Invalid lat long,Invalid lat long,73000.0
29,"{""$oid"": ""52cdef7c4bab8bd675297da7""}",AddThis,advertising,120.0,2004.0,Troy,"{'type': 'Point', 'coordinates': [-83.167884, 42.557958]}",42.557958,-83.167884,73000.0
30,"{""$oid"": ""52cdef7c4bab8bd675297dab""}",Kyte,games_video,40.0,2006.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}",37.788482,-122.409173,23400.0
31,"{""$oid"": ""52cdef7c4bab8bd675297da8""}",OpenX,advertising,305.0,2008.0,Pasadena,"{'type': 'Point', 'coordinates': [-118.1327468, 34.1494713]}",34.1494713,-118.1327468,75500.0
31,"{""$oid"": ""52cdef7c4bab8bd675297da8""}",OpenX,advertising,305.0,2008.0,New York,,Invalid lat long,Invalid lat long,75500.0
31,"{""$oid"": ""52cdef7c4bab8bd675297da8""}",OpenX,advertising,305.0,2008.0,London,,Invalid lat long,Invalid lat long,75500.0
31,"{""$oid"": ""52cdef7c4bab8bd675297da8""}",OpenX,advertising,305.0,2008.0,Tokyo,,Invalid lat long,Invalid lat long,75500.0
31,"{""$oid"": ""52cdef7c4bab8bd675297da8""}",OpenX,advertising,305.0,2008.0,Munich,,Invalid lat long,Invalid lat long,75500.0
32,"{""$oid"": ""52cdef7c4bab8bd675297db0""}",Info,web,,,Chicago,"{'type': 'Point', 'coordinates': [-87.622309, 41.885619]}",41.885619,-87.622309,8400.0
33,"{""$oid"": ""52cdef7c4bab8bd675297dac""}",Veoh,games_video,,2004.0,San Diego,"{'type': 'Point', 'coordinates': [-117.20834, 32.902266]}",32.902266,-117.20834,69800.0
34,"{""$oid"": ""52cdef7c4bab8bd675297db1""}",JotSpot,web,,,Palo Alto,"{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}",37.437328,-122.159928,5200.0
35,"{""$oid"": ""52cdef7c4bab8bd675297dad""}",Gannett,web,,,McLean,"{'type': 'Point', 'coordinates': [-77.216585, 38.929289]}",38.929289,-77.216585,0.0
36,"{""$oid"": ""52cdef7c4bab8bd675297dae""}",Thoof,web,,2006.0,Austin,"{'type': 'Point', 'coordinates': [-97.745209, 30.268735]}",30.268735,-97.745209,1000.0
37,"{""$oid"": ""52cdef7c4bab8bd675297db2""}",Meetup,web,75.0,2002.0,New York,"{'type': 'Point', 'coordinates': [-73.995722, 40.72604]}",40.72604,-73.995722,18300.0
38,"{""$oid"": ""52cdef7c4bab8bd675297db6""}",Wesabe,web,,2005.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.402567, 37.793148]}",37.793148,-122.402567,4700.0
39,"{""$oid"": ""52cdef7c4bab8bd675297daf""}",Jingle Networks,mobile,35.0,2005.0,New York,"{'type': 'Point', 'coordinates': [-122.173887, 37.480999]}",37.480999,-122.173887,88700.0
40,"{""$oid"": ""52cdef7c4bab8bd675297db5""}",LifeLock,security,644.0,2005.0,Tempe,"{'type': 'Point', 'coordinates': [-111.938739, 33.429859]}",33.429859,-111.938739,178000.0
41,"{""$oid"": ""52cdef7c4bab8bd675297db7""}",Jangl SMS,web,22.0,2005.0,Pleasanton,"{'type': 'Point', 'coordinates': [-121.907768, 37.697805]}",37.697805,-121.907768,9000.0
42,"{""$oid"": ""52cdef7c4bab8bd675297db3""}",Mercora,web,,,Sunnyvale,"{'type': 'Point', 'coordinates': [-122.012475, 37.384239]}",37.384239,-122.012475,5000.0
43,"{""$oid"": ""52cdef7c4bab8bd675297db4""}",NetRatings,web,,,NoCity,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",37.09024,-95.712891,0.0
44,"{""$oid"": ""52cdef7c4bab8bd675297db8""}",SmugMug,photo_video,62.0,2002.0,Mountain View,"{'type': 'Point', 'coordinates': [-122.067692, 37.390056]}",37.390056,-122.067692,0.0
45,"{""$oid"": ""52cdef7c4bab8bd675297db9""}",Prosper,finance,,2006.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.402524, 37.78976]}",37.78976,-122.402524,120000.0
46,"{""$oid"": ""52cdef7c4bab8bd675297da2""}",Cisco,network_hosting,63000.0,1984.0,San Jose,"{'type': 'Point', 'coordinates': [-121.95377, 37.408802]}",37.408802,-121.95377,2500.0
47,"{""$oid"": ""52cdef7c4bab8bd675297dbb""}",Jajah,mobile,110.0,2005.0,Mountain View,"{'type': 'Point', 'coordinates': [-122.0899512, 37.4233896]}",37.4233896,-122.0899512,33000.0
48,"{""$oid"": ""52cdef7c4bab8bd675297dbe""}",Stickam,games_video,35.0,2006.0,Los Angeles,"{'type': 'Point', 'coordinates': [-118.254558, 34.051409]}",34.051409,-118.254558,0.0
49,"{""$oid"": ""52cdef7c4bab8bd675297dbf""}",blogTV,games_video,,2006.0,Ramat Gan,"{'type': 'Point', 'coordinates': [34.851612, 31.046051]}",31.046051,34.851612,3000.0
50,"{""$oid"": ""52cdef7c4bab8bd675297dc0""}",Livestream,games_video,120.0,2007.0,New York,"{'type': 'Point', 'coordinates': [-73.995625, 40.726155]}",40.726155,-73.995625,14700.0
51,"{""$oid"": ""52cdef7c4bab8bd675297dc2""}",AdaptiveBlue,games_video,15.0,2007.0,NYC,"{'type': 'Point', 'coordinates': [-74.3372, 40.801358]}",40.801358,-74.3372,24000.0
52,"{""$oid"": ""52cdef7c4bab8bd675297dc3""}",Pando Networks,games_video,23.0,2004.0,New York,"{'type': 'Point', 'coordinates': [-73.99873, 40.722655]}",40.722655,-73.99873,11000.0
53,"{""$oid"": ""52cdef7c4bab8bd675297dbd""}",YouTube,games_video,0.0,2005.0,San Bruno,"{'type': 'Point', 'coordinates': [-122.426804, 37.627971]}",37.627971,-122.426804,11500.0
54,"{""$oid"": ""52cdef7c4bab8bd675297dc1""}",Ustream,games_video,250.0,2007.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.07948, 37.392936]}",37.392936,-122.07948,60100.0
54,"{""$oid"": ""52cdef7c4bab8bd675297dc1""}",Ustream,games_video,250.0,2007.0,Los Angeles,,Invalid lat long,Invalid lat long,60100.0
54,"{""$oid"": ""52cdef7c4bab8bd675297dc1""}",Ustream,games_video,250.0,2007.0,Budapest,,Invalid lat long,Invalid lat long,60100.0
55,"{""$oid"": ""52cdef7c4bab8bd675297dbc""}",Skype,software,0.0,2003.0,Luxembourg City,"{'type': 'Point', 'coordinates': [-0.131916, 51.518132]}",51.518132,-0.131916,76800.0
55,"{""$oid"": ""52cdef7c4bab8bd675297dbc""}",Skype,software,0.0,2003.0,Palo Alto,,Invalid lat long,Invalid lat long,76800.0
55,"{""$oid"": ""52cdef7c4bab8bd675297dbc""}",Skype,software,0.0,2003.0,London,,Invalid lat long,Invalid lat long,76800.0
56,"{""$oid"": ""52cdef7c4bab8bd675297dc9""}",Jobster,search,,2004.0,Seattle,"{'type': 'Point', 'coordinates': [-122.357242, 47.617682]}",47.617682,-122.357242,52500.0
57,"{""$oid"": ""52cdef7c4bab8bd675297dc6""}",Ikan,web,5.0,2003.0,Stamford,"{'type': 'Point', 'coordinates': [-73.563878, 41.049051]}",41.049051,-73.563878,0.0
